ID,category,average_cost
611,Entertainment Collectibles,16.97
612,Entertainment Collectibles,7.99
613,Entertainment Collectibles,399.99
614,Entertainment Collectibles,4.0
615,Entertainment Collectibles,29.95
616,Entertainment Collectibles,5.99
617,Entertainment Collectibles,7.95
618,Entertainment Collectibles,24.99
619,Entertainment Collectibles,99.95
620,Entertainment Collectibles,0.0
621,Entertainment Collectibles,0.0
622,Entertainment Collectibles,7.95
623,Entertainment Collectibles,0.0
624,Entertainment Collectibles,35.0
625,Entertainment Collectibles,0.0
626,Entertainment Collectibles,14.99
627,Entertainment Collectibles,17.95
628,Entertainment Collectibles,19.95
629,Entertainment Collectibles,4.0
630,Entertainment Collectibles,4.0
631,Entertainment Collectibles,49.95
632,Entertainment Collectibles,0.0
633,Entertainment Collectibles,0.0
634,Entertainment Collectibles,5.99
635,Entertainment Collectibles,17.95
636,Gift Cards,0.0
637,Gift Cards,15.0
638,Gift Cards,50.0
639,Gift Cards,50.0
640,Gift Cards,50.0
641,Gift Cards,50.0
642,Gift Cards,50.0
643,Gift Cards,25.0
644,Gift Cards,50.0
645,Gift Cards,25.0
646,Gift Cards,20.0
647,Gift Cards,50.0
648,Gift Cards,25.0
649,Gift Cards,105.95
650,Gift Cards,25.0
651,Gift Cards,25.0
652,Gift Cards,50.0
653,Gift Cards,50.0
654,Gift Cards,10.0
655,Gift Cards,206.95
656,Gift Cards,50.0
657,Gift Cards,50.0
658,Gift Cards,50.0
659,Gift Cards,25.0
660,Gift Cards,50.0
661,Gift Cards,50.0
662,Gift Cards,50.0
663,Gift Cards,20.0
664,Gift Cards,50.0
665,Gift Cards,50.0
666,Grocery & Gourmet Food,45.45
667,Grocery & Gourmet Food,25.45
668,Grocery & Gourmet Food,46.98
669,Grocery & Gourmet Food,55.49
670,Grocery & Gourmet Food,27.89
671,Grocery & Gourmet Food,148.12
672,Grocery & Gourmet Food,36.02
673,Grocery & Gourmet Food,18.05
674,Grocery & Gourmet Food,93.14
675,Grocery & Gourmet Food,38.66
676,Grocery & Gourmet Food,67.08
677,Grocery & Gourmet Food,37.52
678,Grocery & Gourmet Food,7.24
679,Grocery & Gourmet Food,31.28
680,Grocery & Gourmet Food,16.73
681,Grocery & Gourmet Food,65.58
682,Grocery & Gourmet Food,30.99
683,Grocery & Gourmet Food,33.12
684,Grocery & Gourmet Food,69.62
685,Grocery & Gourmet Food,28.66
686,Grocery & Gourmet Food,18.89
687,Grocery & Gourmet Food,30.99
688,Grocery & Gourmet Food,66.21
689,Grocery & Gourmet Food,29.98
690,Grocery & Gourmet Food,72.48
691,Grocery & Gourmet Food,66.95
692,Grocery & Gourmet Food,24.99
693,Grocery & Gourmet Food,23.16
694,Grocery & Gourmet Food,37.06
695,Grocery & Gourmet Food,34.09
